table_name,row_count,column_count
django_migrations,34,4
sqlite_sequence,16,2
auth_group_permissions,0,3
auth_user_groups,0,3
auth_user_user_permissions,0,3
django_admin_log,9,8
django_content_type,17,3
auth_permission,68,4
auth_group,0,2
auth_user,4,11
connection_project,6,6
connection_objects,11,5
connection_segments,188,5
connection_fileconnection,2,6
connection_connection,5,13
connection_saverule,318,18
connection_dd02l_desc,0,3
django_session,12,3
t_1_Material_General_Data_mandatory,1605,19
t_1_Material_Text,0,6
t_1_Material_Text_with_Text_Type,0,7
t_1_Material_Classification,0,8
t_1_Material_Classification_Numbers,0,16
t_1_Material_Classification_Characteristic,0,8
t_1_Material_Classification_Currency,0,12
t_1_Material_Address_Dependent_Shipping,0,6
connection_chat,0,7
MARA,1605,307
MAKT,2086,5
MARA_500,500,307
t_2_Material_BOM_Header_mandatory,0,12
t_2_Material_BOM_Item,0,53
t_2_Material_BOM_Subitem,0,9
MARA_700,700,307
MARA_desc,307,2
VBAK,2367,232
KNMT,109,31
t_4_Material_General_Data_mandatory,0,19
t_4_Material_Text,0,6
t_4_Material_Text_with_Text_Type,0,7
t_4_Material_Classification,0,8
t_4_Material_Classification_Numbers,0,16
t_4_Material_Classification_Characteristic,0,8
t_4_Material_Classification_Currency,0,12
t_4_Material_Address_Dependent_Shipping,0,6
t_5_Material_General_Data_mandatory,109,19
t_5_Material_Text,0,6
t_5_Material_Text_with_Text_Type,0,7
t_5_Material_Classification,0,8
t_5_Material_Classification_Numbers,0,16
t_5_Material_Classification_Characteristic,0,8
t_5_Material_Classification_Currency,0,12
t_5_Material_Address_Dependent_Shipping,0,6
t_6_Material_General_Data_mandatory,109,19
t_6_Material_Text,0,6
t_6_Material_Text_with_Text_Type,0,7
t_6_Material_Classification,0,8
t_6_Material_Classification_Numbers,0,16
t_6_Material_Classification_Characteristic,0,8
t_6_Material_Classification_Currency,0,12
t_6_Material_Address_Dependent_Shipping,0,6
MARC,1379,310
VBAP,2258,446
t_7_Product_General_Data_mandatory,109,19
t_7_Product_Text,0,6
t_7_Product_Text_with_Text_Type,0,7
t_7_Product_Classification,0,8
t_7_Product_Classification_Numbers,0,16
t_7_Product_Classification_Characteristic,0,8
t_7_Product_Classification_Currency,0,12
t_7_Product_Address_Dependent_Shipping,0,6
t_8_Product_General_Data_mandatory,109,19
t_8_Product_Text,0,6
t_8_Product_Text_with_Text_Type,0,7
t_8_Product_Classification,0,8
t_8_Product_Classification_Numbers,0,16
t_8_Product_Classification_Characteristic,0,8
t_8_Product_Classification_Currency,0,12
t_8_Product_Address_Dependent_Shipping,0,6
t_9_Product_General_Data_mandatory,109,19
t_9_Product_Text,0,6
t_9_Product_Text_with_Text_Type,0,7
t_9_Product_Classification,0,8
t_9_Product_Classification_Numbers,0,16
t_9_Product_Classification_Characteristic,0,8
t_9_Product_Classification_Currency,0,12
t_9_Product_Address_Dependent_Shipping,0,6
